,DATE_TIME,TEMPERATURE,Dew_Point,Wind_Direction,Wind_Speed
184,2021-01-07 10:51:00,0.0,-6.1,330.0,7.2
185,2021-01-07 11:51:00,0.0,-6.7,330.0,7.2
186,2021-01-07 12:51:00,-0.6,-6.7,330.0,5.7
187,2021-01-07 13:51:00,0.6,-6.7,340.0,7.2
188,2021-01-07 14:51:00,1.7,-7.2,330.0,7.2
189,2021-01-07 15:51:00,2.8,-6.7,320.0,7.2
190,2021-01-07 16:51:00,3.9,-6.7,310.0,6.7
191,2021-01-07 17:51:00,5.6,-7.2,320.0,7.2
192,2021-01-07 18:51:00,6.1,-7.2,330.0,7.7
193,2021-01-07 19:51:00,6.1,-7.2,320.0,7.7
194,2021-01-07 20:51:00,5.6,-6.7,330.0,6.7
195,2021-01-07 21:51:00,3.9,-6.7,310.0,6.2
196,2021-01-07 22:51:00,3.3,-6.7,320.0,7.2
197,2021-01-07 23:51:00,2.2,-6.1,320.0,6.7
198,2021-01-08 00:51:00,1.7,-6.1,350.0,5.1
199,2021-01-08 01:51:00,0.6,-6.1,340.0,6.2
200,2021-01-08 02:51:00,0.6,-6.1,340.0,6.7
201,2021-01-08 03:51:00,0.0,-6.1,330.0,6.2
202,2021-01-08 04:51:00,-0.6,-6.1,350.0,7.2
203,2021-01-08 04:59:00,,,,
204,2021-01-08 05:51:00,-0.6,-6.7,340.0,6.7
205,2021-01-08 06:51:00,-1.1,-6.7,340.0,4.6
206,2021-01-08 07:51:00,-1.7,-6.7,330.0,4.1
207,2021-01-08 08:51:00,-1.7,-6.7,330.0,5.1
208,2021-01-08 09:51:00,-1.7,-6.7,340.0,5.1
209,2021-01-08 10:51:00,-2.2,-6.7,320.0,2.6
210,2021-01-08 11:51:00,-2.2,-7.2,350.0,5.1
211,2021-01-08 12:51:00,-2.2,-6.7,350.0,6.7
212,2021-01-08 13:51:00,-1.1,-6.7,350.0,6.2
213,2021-01-08 14:51:00,0.6,-6.1,350.0,7.2
214,2021-01-08 15:51:00,1.7,-6.7,350.0,5.7
215,2021-01-08 16:51:00,2.8,-6.7,320.0,4.1
216,2021-01-08 17:51:00,2.8,-6.7,330.0,5.1
217,2021-01-08 18:51:00,2.8,-6.7,340.0,3.6
218,2021-01-08 19:51:00,2.8,-6.1,320.0,4.6
219,2021-01-08 20:51:00,2.2,-6.1,360.0,6.2
220,2021-01-08 21:51:00,2.2,-6.7,340.0,4.6
221,2021-01-08 22:51:00,1.1,-6.7,340.0,4.1
222,2021-01-08 23:51:00,1.1,-6.1,350.0,6.2
223,2021-01-09 00:51:00,0.6,-6.7,360.0,7.7
224,2021-01-09 01:51:00,0.0,-7.2,350.0,7.2
225,2021-01-09 02:51:00,0.0,-8.3,350.0,6.7
226,2021-01-09 03:51:00,0.0,-8.3,350.0,5.1
227,2021-01-09 04:51:00,-0.6,-8.3,360.0,6.7
